POLARIS_REF,GW_REF,ENTITY,RECON_STATUS,DELTA_PENCE,NOTES
P41049560647X,PTY260432723,PolicyPeriod,MATCHED,0,see CM-1418
P50359765396C,POL308223793,PolicyPeriod,ORPHAN,3180,manual journal posted
P56076031712X,POL680349633,ABContact,ORPHAN,413,
P79845703654X,PTY831931344,Invoice,MATCHED,0,
P65193767795A,CLM432302564,PolicyPeriod,MATCHED,0,see DEF-20963
P67921870574C,PTY708862948,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P74954284404C,PTY838958461,Invoice,MATCHED,0,pence variance accepted per finance memo
P46079268040A,CLM775333858,ABContact,MATCHED,0,manual journal posted
P14453645166X,POL749417350,ABContact,MATCHED,0,
P49796502604C,POL154514329,ABContact,MATCHED,0,see GWPC-9242
P95577863237X,POL835786710,ABContact,FIXED_BY_SQL,3049,pence variance accepted per finance memo
P58081834181B,CLM334808808,PolicyPeriod,FIXED_BY_SQL,7318,wave rolled back and re-run
P28862243886X,PTY763815625,ABContact,MATCHED,0,wave rolled back and re-run
P99927977259A,POL712135925,Claim,FIXED_BY_SQL,8090,wave rolled back and re-run
P11172981711C,POL661628789,Invoice,MATCHED,0,
P13233019971X,POL103214171,PolicyPeriod,DUPE,9368,pence variance accepted per finance memo
P45593301886A,CLM696798550,ABContact,MATCHED,0,pence variance accepted per finance memo
P60640775252C,POL557092727,Claim,ORPHAN,9942,manual journal posted
P62952081711A,POL199748186,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P84369089784A,POL382429588,ABContact,MATCHED,0,wave rolled back and re-run
P20260687548X,CLM760823950,ABContact,MATCHED,0,wave rolled back and re-run
P82939488233X,CLM900970883,Claim,MATCHED,0,see GWCC-14808
P33053305192C,PTY894705059,Invoice,MATCHED,0,wave rolled back and re-run
P51774461584B,PTY678446569,Claim,MATCHED,0,manual journal posted
P77654068149B,CLM794004444,ABContact,ORPHAN,-6377,
P76168903067A,CLM967298648,Invoice,ORPHAN,-7144,pence variance accepted per finance memo
P14382411227C,PTY997031616,Invoice,MATCHED,0,
P72635119807A,POL714985757,Claim,MATCHED,0,manual journal posted
P77333346077C,PTY904545137,ABContact,MATCHED,0,pence variance accepted per finance memo
P29324597575X,CLM200456277,ABContact,MATCHED,0,manual journal posted
P64742147525B,CLM772401589,Invoice,MATCHED,0,see GWPC-2151
P69164408830X,CLM360118722,ABContact,MATCHED,0,see GWCC-45200
P24140107032B,PTY260946844,Invoice,DUPE,-9853,wave rolled back and re-run
P56838943837X,CLM122003563,PolicyPeriod,MATCHED,0,manual journal posted
P51612969316B,CLM982448206,Claim,MATCHED,0,pence variance accepted per finance memo
P88666215000C,POL349585396,ABContact,ORPHAN,-4607,see DEF-10170
P44087916937X,POL680222593,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P50460120698A,PTY105275402,ABContact,MATCHED,0,pence variance accepted per finance memo
P81652166439A,POL922649548,ABContact,ORPHAN,318,manual journal posted
P58564065587B,PTY320735472,Claim,MATCHED,0,manual journal posted
P84194678882A,PTY143275691,ABContact,MATCHED,0,manual journal posted
P53864177567A,CLM743356592,PolicyPeriod,MATCHED,0,see REG-26615
P97615724925B,POL786454469,ABContact,FIXED_BY_SQL,9650,pence variance accepted per finance memo
P98711380032B,POL819473675,PolicyPeriod,MATCHED,0,manual journal posted
P10489983031X,CLM431774382,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P99853107522C,PTY932981763,Claim,MATCHED,0,
P67976632690X,CLM662674659,Invoice,FIXED_BY_SQL,7438,wave rolled back and re-run
P33681158533A,CLM814490591,ABContact,MATCHED,0,
P52174290605X,PTY666008719,PolicyPeriod,WRITTEN_OFF,31,
P29959580477B,POL778671450,PolicyPeriod,MATCHED,0,see GWCC-29577
P15995468252C,CLM235300084,PolicyPeriod,MATCHED,0,see GWPC-36048
P25177309033C,CLM788916641,Invoice,MATCHED,0,
P53977683461C,CLM962353012,Claim,MATCHED,0,see GWCC-10133
P51862357377B,CLM310113557,ABContact,MATCHED,0,wave rolled back and re-run
P92891862338C,POL397350154,ABContact,MATCHED,0,
P66615275727X,PTY503865873,PolicyPeriod,MATCHED,0,manual journal posted
P11483647554X,CLM175111475,Invoice,MATCHED,0,
P72598030783B,PTY603308250,ABContact,MATCHED,0,manual journal posted
P37869052770X,CLM700857966,Claim,MATCHED,0,
P35634870661C,PTY571473869,Invoice,FIXED_BY_SQL,-3679,see INC-15865
P21694060821A,POL949170599,ABContact,MATCHED,0,
P76552728068X,POL988690211,Invoice,MATCHED,0,see REG-8789
P70589927345C,POL919515475,Claim,ORPHAN,527,
P80099782374B,CLM123111925,Invoice,FIXED_BY_SQL,-6346,pence variance accepted per finance memo
P72346363069C,POL465131712,ABContact,MATCHED,0,manual journal posted
P99557779549C,PTY109420969,Invoice,MATCHED,0,pence variance accepted per finance memo
P54380572668X,POL679271446,PolicyPeriod,DUPE,-1459,see GWCC-13606
P17744431909C,POL161025249,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P49383085545C,CLM659725974,ABContact,MATCHED,0,manual journal posted
P90352809849B,CLM573206743,Claim,DUPE,-8242,manual journal posted
P54269754076X,POL908224153,PolicyPeriod,MATCHED,0,see HERIT-2470
P47635768679X,POL957224153,Invoice,FIXED_BY_SQL,-8270,see GWBC-35186
P60284993793B,PTY999395713,Invoice,DUPE,8068,see GWCC-18584
P43081029587A,POL445319160,ABContact,MATCHED,0,
