POLARIS_REF,GW_REF,ENTITY,RECON_STATUS,DELTA_PENCE,NOTES
P57390336051C,PTY267990860,Invoice,MATCHED,0,manual journal posted
P21379800790C,POL130395842,Invoice,ORPHAN,-6662,manual journal posted
P67361870973C,PTY914986858,Claim,MATCHED,0,manual journal posted
P66856785850C,PTY841445974,Invoice,FIXED_BY_SQL,-7266,
P76782261247C,PTY817965559,Invoice,MATCHED,0,manual journal posted
P14872729685C,PTY288317609,ABContact,FIXED_BY_SQL,4984,wave rolled back and re-run
P61914132975X,CLM337919946,Invoice,MATCHED,0,
P49040078979B,CLM801507012,Claim,MATCHED,0,pence variance accepted per finance memo
P53774342290X,POL463165040,Invoice,MATCHED,0,wave rolled back and re-run
P16614628742C,CLM641173222,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P70220396868A,CLM206822024,Claim,ORPHAN,6749,see CM-3338
