POLARIS_REF,GW_REF,ENTITY,RECON_STATUS,DELTA_PENCE,NOTES
P71228937765C,PTY944505623,Claim,ORPHAN,-6643,pence variance accepted per finance memo
P61985814437X,POL794602608,Invoice,ORPHAN,872,
P51325474419X,POL489062415,Invoice,FIXED_BY_SQL,1667,
P71784489251X,PTY929319644,Invoice,MATCHED,0,wave rolled back and re-run
P15143686141A,CLM615165924,Invoice,ORPHAN,-301,manual journal posted
P46518709215B,CLM545627507,Invoice,DUPE,7946,wave rolled back and re-run
P17388405898B,CLM802782240,Invoice,MATCHED,0,manual journal posted
P87855614884B,CLM975355272,Claim,MATCHED,0,
P45746084537C,CLM863848177,Invoice,MATCHED,0,wave rolled back and re-run
P42970758093C,PTY969388677,Invoice,MATCHED,0,see CHG-15224
P99815531490B,POL532238642,PolicyPeriod,MATCHED,0,manual journal posted
P76373112149A,CLM670733721,Claim,MATCHED,0,
P80543960730B,POL285766938,Invoice,MATCHED,0,pence variance accepted per finance memo
P79592867362C,CLM852172163,Claim,MATCHED,0,
P43034217705A,CLM386652093,Claim,WRITTEN_OFF,-3174,see PRB-42412
P14874279308C,POL642237381,Invoice,MATCHED,0,see CM-901
P85337381952B,POL495042381,ABContact,FIXED_BY_SQL,-5878,see REG-22668
P15473450125X,CLM320880625,PolicyPeriod,MATCHED,0,manual journal posted
P11869132251B,PTY692499878,Claim,MATCHED,0,
P48115143380A,POL360256773,Invoice,ORPHAN,-9139,pence variance accepted per finance memo
P51955674355C,POL640121658,PolicyPeriod,MATCHED,0,manual journal posted
P67229054185X,POL314255122,Claim,MATCHED,0,wave rolled back and re-run
P16745573182X,POL130257898,Claim,MATCHED,0,manual journal posted
P59849409737A,POL594517546,Invoice,ORPHAN,9334,see CHG-35940
P42332000380B,PTY658992146,Invoice,MATCHED,0,
P42140257311A,CLM338833180,Claim,MATCHED,0,see CM-36896
