POLARIS_REF,GW_REF,ENTITY,RECON_STATUS,DELTA_PENCE,NOTES
P50736575050X,CLM961348251,Invoice,DUPE,8619,pence variance accepted per finance memo
P84760776622B,PTY540574152,Claim,MATCHED,0,manual journal posted
P25656826187C,PTY774546029,Claim,MATCHED,0,pence variance accepted per finance memo
P28811060133X,CLM286413531,Invoice,DUPE,1545,manual journal posted
P81785728942A,CLM737587698,ABContact,MATCHED,0,
P36965383326C,POL291164171,ABContact,DUPE,-5808,
P39269631673A,CLM110281806,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P75787987081B,PTY144793007,Claim,DUPE,5322,manual journal posted
P50771632131X,PTY475686827,Invoice,MATCHED,0,pence variance accepted per finance memo
P90744595132C,CLM436414946,Invoice,MATCHED,0,pence variance accepted per finance memo
P71232353632B,PTY650684033,PolicyPeriod,MATCHED,0,
P17870183836X,PTY711836360,PolicyPeriod,MATCHED,0,see AGI-17463
P41750017871A,POL647197478,Claim,ORPHAN,-1473,manual journal posted
P56055328588X,CLM110333445,Invoice,MATCHED,0,wave rolled back and re-run
P59380069150C,CLM599992281,Claim,MATCHED,0,manual journal posted
P33410510355A,PTY938864392,PolicyPeriod,ORPHAN,-9127,wave rolled back and re-run
P64359916667B,CLM877010480,Invoice,DUPE,2888,wave rolled back and re-run
P18792338035X,CLM111225703,ABContact,MATCHED,0,see AGI-39403
P94975582891B,CLM719474675,PolicyPeriod,MATCHED,0,
P87783492420A,POL287186824,Invoice,MATCHED,0,see GWPC-47208
P74066037710A,POL144159304,Invoice,MATCHED,0,
P41057002273B,CLM408417457,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P34634318230C,POL216801040,Invoice,MATCHED,0,see CM-19091
P29625013152X,CLM989802670,Invoice,ORPHAN,3063,
P19896258180X,PTY318927310,Claim,DUPE,8306,wave rolled back and re-run
P86837611337X,PTY885569979,Claim,MATCHED,0,wave rolled back and re-run
P59550848040A,POL978157054,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P28318203719X,PTY912315301,Invoice,DUPE,-7375,manual journal posted
P36116839555C,PTY871156106,ABContact,ORPHAN,9085,wave rolled back and re-run
P81433444955B,CLM389188875,Invoice,DUPE,9471,
P85482841264X,POL106226811,ABContact,MATCHED,0,wave rolled back and re-run
P37593490617B,CLM661794100,Claim,MATCHED,0,pence variance accepted per finance memo
P98522573926X,POL659961508,Claim,MATCHED,0,
P29344119839B,PTY293229545,PolicyPeriod,ORPHAN,-5738,pence variance accepted per finance memo
P83637087975C,POL643081363,Claim,DUPE,9107,see REG-6232
P96213728109B,POL794329659,Invoice,ORPHAN,-7798,pence variance accepted per finance memo
P56536134579A,CLM164945420,ABContact,MATCHED,0,pence variance accepted per finance memo
P86575631911A,POL488349922,PolicyPeriod,ORPHAN,3365,
P53929509910X,PTY446537980,Invoice,DUPE,4401,manual journal posted
P94586318912A,POL164587189,ABContact,MATCHED,0,manual journal posted
P85793313073X,POL182944010,Invoice,MATCHED,0,pence variance accepted per finance memo
P90946917174C,POL212190319,PolicyPeriod,DUPE,-159,manual journal posted
P18075236584X,POL996416401,PolicyPeriod,MATCHED,0,wave rolled back and re-run
P98297165274B,CLM403925951,ABContact,MATCHED,0,
P22762960281X,PTY313636269,Invoice,ORPHAN,6723,
P15638538849C,POL709205490,ABContact,FIXED_BY_SQL,-1719,wave rolled back and re-run
P80970646468C,PTY591256036,ABContact,MATCHED,0,manual journal posted
P52235578495B,POL973832644,ABContact,MATCHED,0,pence variance accepted per finance memo
P16370101940A,POL103837178,PolicyPeriod,MATCHED,0,pence variance accepted per finance memo
P99131985544C,POL388699509,Invoice,FIXED_BY_SQL,2392,wave rolled back and re-run
P86097723155X,POL220754431,ABContact,MATCHED,0,wave rolled back and re-run
P20844379584A,POL415338804,PolicyPeriod,ORPHAN,-7998,
