POLARIS_REF,GW_REF,ENTITY,RECON_STATUS,DELTA_PENCE,NOTES
P53732449976A,CLM274288396,Invoice,MATCHED,0,pence variance accepted per finance memo
P73570559572A,POL909136204,Invoice,MATCHED,0,pence variance accepted per finance memo
P39759574665X,PTY250717767,Invoice,MATCHED,0,
P89978716143C,PTY807190196,ABContact,MATCHED,0,wave rolled back and re-run
P40529323971X,POL303246711,ABContact,ORPHAN,6712,
P79221544774C,POL702450802,Claim,MATCHED,0,manual journal posted
P23055751670C,CLM937644484,ABContact,FIXED_BY_SQL,-7852,manual journal posted
P25286499694B,CLM756317116,Claim,MATCHED,0,
P15642750275B,POL533003467,Claim,ORPHAN,-6439,manual journal posted
P86076095505C,CLM590823890,ABContact,MATCHED,0,manual journal posted
P23022710949C,PTY870843315,PolicyPeriod,ORPHAN,2514,
P41295116848C,CLM314014146,Invoice,MATCHED,0,see GWBC-6002
P66774922165B,PTY726356011,Claim,MATCHED,0,see CM-4063
